seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,-37211.0,0.6746031746031746,0.4166666666666667,0.5833333333333334
2001,-43343.0,0.6428571428571429,0.25,0.75
2002,-45479.0,0.6507936507936508,0.3333333333333333,0.6666666666666666
2003,-31531.0,0.6746031746031746,0.4166666666666667,0.5833333333333334
2004,-46395.0,0.626984126984127,0.16666666666666666,0.8333333333333334
2005,-33023.0,0.6190476190476191,0.5,0.5
2006,-34739.0,0.6111111111111112,0.3333333333333333,0.6666666666666666
2007,-37763.0,0.6190476190476191,0.25,0.75
2008,-42163.0,0.6111111111111112,0.25,0.75
2009,-46003.0,0.6825396825396826,0.25,0.75
2010,-37919.0,0.6984126984126984,0.3333333333333333,0.6666666666666666
2011,-38499.0,0.6190476190476191,0.3333333333333333,0.6666666666666666
2012,-34111.0,0.6746031746031746,0.4166666666666667,0.5833333333333334
2013,-47359.0,0.7142857142857143,0.25,0.75
2014,-44291.0,0.6666666666666666,0.4166666666666667,0.5833333333333334
2015,-38111.0,0.5793650793650794,0.4166666666666667,0.5833333333333334
2016,-33391.0,0.7380952380952381,0.4166666666666667,0.5833333333333334
2017,-32191.0,0.626984126984127,0.4166666666666667,0.5833333333333334
2018,-41319.0,0.6111111111111112,0.25,0.75
2019,-32503.0,0.7142857142857143,0.5,0.5
2020,-26475.0,0.6349206349206349,0.3333333333333333,0.6666666666666666
2021,-28471.0,0.7222222222222222,0.4166666666666667,0.5833333333333334
2022,-39567.0,0.6111111111111112,0.25,0.75
2023,-52751.0,0.6031746031746031,0.08333333333333333,0.9166666666666666
2024,-40911.0,0.6666666666666666,0.4166666666666667,0.5833333333333334
2025,-15139.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
2026,-53043.0,0.6111111111111112,0.25,0.75
2027,-44243.0,0.6666666666666666,0.5,0.5
2028,-48383.0,0.6190476190476191,0.25,0.75
2029,-45183.0,0.6507936507936508,0.25,0.75
2000,-33571.0,0.6825396825396826,0.4166666666666667,0.5833333333333334
2001,-35491.0,0.6031746031746031,0.25,0.75
2002,-42803.0,0.5873015873015873,0.16666666666666666,0.8333333333333334
2003,-36511.0,0.6507936507936508,0.4166666666666667,0.5833333333333334
2004,-44179.0,0.6904761904761905,0.3333333333333333,0.6666666666666666
2005,-35999.0,0.6190476190476191,0.3333333333333333,0.6666666666666666
2006,-48695.0,0.6111111111111112,0.3333333333333333,0.6666666666666666
2007,-42291.0,0.6587301587301587,0.16666666666666666,0.8333333333333334
2008,-38235.0,0.5952380952380952,0.3333333333333333,0.6666666666666666
2009,-35439.0,0.5873015873015873,0.3333333333333333,0.6666666666666666
2010,-40307.0,0.6587301587301587,0.16666666666666666,0.8333333333333334
2011,-50315.0,0.6190476190476191,0.3333333333333333,0.6666666666666666
2012,-46111.0,0.6746031746031746,0.4166666666666667,0.5833333333333334
2013,-46123.0,0.6428571428571429,0.25,0.75
2014,-35363.0,0.6428571428571429,0.5,0.5
2015,-43623.0,0.6190476190476191,0.25,0.75
2016,-54135.0,0.5793650793650794,0.3333333333333333,0.6666666666666666
2017,-37051.0,0.626984126984127,0.4166666666666667,0.5833333333333334
2018,-24671.0,0.6428571428571429,0.4166666666666667,0.5833333333333334
2019,-32503.0,0.7142857142857143,0.5,0.5
2020,-41327.0,0.6587301587301587,0.16666666666666666,0.8333333333333334
2021,-38471.0,0.6111111111111112,0.4166666666666667,0.5833333333333334
2022,-31511.0,0.6825396825396826,0.4166666666666667,0.5833333333333334
2023,-40991.0,0.5952380952380952,0.16666666666666666,0.8333333333333334
2024,-39143.0,0.5714285714285714,0.25,0.75
2025,-37543.0,0.6746031746031746,0.5,0.5
2026,-34591.0,0.6111111111111112,0.4166666666666667,0.5833333333333334
2027,-48679.0,0.6507936507936508,0.3333333333333333,0.6666666666666666
2028,-37279.0,0.6349206349206349,0.3333333333333333,0.6666666666666666
2029,-51683.0,0.6031746031746031,0.16666666666666666,0.8333333333333334
