seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,-15161.0,0.5555555555555556,0.0,1.0
2001,-13421.0,0.5317460317460317,0.0,1.0
2002,-18081.0,0.5158730158730159,0.0,1.0
2003,-4841.0,0.5793650793650794,0.0,1.0
2004,-15461.0,0.5238095238095238,0.0,1.0
2005,-16541.0,0.5,0.0,1.0
2006,-18101.0,0.5238095238095238,0.0,1.0
2007,-13741.0,0.5317460317460317,0.0,1.0
2008,-11021.0,0.5555555555555556,0.0,1.0
2009,-15681.0,0.5555555555555556,0.0,1.0
2010,-7221.0,0.5952380952380952,0.0,1.0
2011,-19521.0,0.49206349206349204,0.0,1.0
2012,-17735.0,0.5714285714285714,0.08333333333333333,0.9166666666666666
2013,-14581.0,0.5238095238095238,0.0,1.0
2014,-10441.0,0.48412698412698413,0.0,1.0
2015,-7841.0,0.6111111111111112,0.0,1.0
2016,-14781.0,0.5317460317460317,0.0,1.0
2017,-13341.0,0.5476190476190477,0.0,1.0
2018,-16981.0,0.5,0.0,1.0
2019,-6621.0,0.5634920634920635,0.0,1.0
2020,-13401.0,0.5476190476190477,0.0,1.0
2021,-13141.0,0.48412698412698413,0.0,1.0
2022,-21261.0,0.5158730158730159,0.0,1.0
2023,-21901.0,0.5158730158730159,0.0,1.0
2024,-9381.0,0.5476190476190477,0.0,1.0
2025,-16601.0,0.47619047619047616,0.0,1.0
2026,-15141.0,0.5476190476190477,0.0,1.0
2027,-4681.0,0.6190476190476191,0.0,1.0
2028,2339.0,0.6111111111111112,0.0,1.0
2029,-10761.0,0.5158730158730159,0.0,1.0
