seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,-18738.0,0.5158730158730159,0.0,1.0
2001,-12378.0,0.5,0.0,1.0
2002,-26178.0,0.48412698412698413,0.0,1.0
2003,-15858.0,0.49206349206349204,0.0,1.0
2004,-22818.0,0.4126984126984127,0.0,1.0
2005,-16646.0,0.5,0.08333333333333333,0.9166666666666666
2006,-21098.0,0.48412698412698413,0.0,1.0
2007,-20078.0,0.4444444444444444,0.0,1.0
2008,-18578.0,0.5,0.0,1.0
2009,-13578.0,0.49206349206349204,0.0,1.0
2010,-25518.0,0.4444444444444444,0.0,1.0
2011,-17158.0,0.5317460317460317,0.0,1.0
2012,-16978.0,0.5079365079365079,0.0,1.0
2013,-11098.0,0.5714285714285714,0.0,1.0
2014,-20558.0,0.46825396825396826,0.0,1.0
2015,-11086.0,0.5634920634920635,0.08333333333333333,0.9166666666666666
2016,-14758.0,0.5476190476190477,0.0,1.0
2017,-14558.0,0.5158730158730159,0.0,1.0
2018,-19318.0,0.48412698412698413,0.0,1.0
2019,-19498.0,0.46825396825396826,0.0,1.0
2020,-26458.0,0.42857142857142855,0.0,1.0
2021,-11606.0,0.48412698412698413,0.08333333333333333,0.9166666666666666
2022,-16666.0,0.47619047619047616,0.08333333333333333,0.9166666666666666
2023,-23118.0,0.4365079365079365,0.0,1.0
2024,-17398.0,0.5,0.0,1.0
2025,-18278.0,0.5238095238095238,0.0,1.0
2026,-23518.0,0.46825396825396826,0.0,1.0
2027,-11698.0,0.5,0.0,1.0
2028,-11798.0,0.5079365079365079,0.0,1.0
2029,-22346.0,0.46825396825396826,0.08333333333333333,0.9166666666666666
