seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,-12341.0,0.5238095238095238,0.0,1.0
2001,-12981.0,0.5555555555555556,0.0,1.0
2002,-11221.0,0.5158730158730159,0.0,1.0
2003,-6621.0,0.5555555555555556,0.0,1.0
2004,-22321.0,0.5,0.0,1.0
2005,-14761.0,0.5238095238095238,0.0,1.0
2006,-20781.0,0.5,0.0,1.0
2007,-18021.0,0.5238095238095238,0.0,1.0
2008,-6041.0,0.5873015873015873,0.0,1.0
2009,-17881.0,0.5396825396825397,0.0,1.0
2010,-14081.0,0.5555555555555556,0.0,1.0
2011,-20361.0,0.49206349206349204,0.0,1.0
2012,-19181.0,0.5079365079365079,0.0,1.0
2013,-19901.0,0.48412698412698413,0.0,1.0
2014,-9901.0,0.5952380952380952,0.0,1.0
2015,-11361.0,0.5079365079365079,0.0,1.0
2016,-17081.0,0.5714285714285714,0.0,1.0
2017,-9481.0,0.6111111111111112,0.0,1.0
2018,-13341.0,0.5476190476190477,0.0,1.0
2019,-10141.0,0.5952380952380952,0.0,1.0
2020,-10381.0,0.5,0.0,1.0
2021,-13081.0,0.5158730158730159,0.0,1.0
2022,-20881.0,0.5317460317460317,0.0,1.0
2023,-12141.0,0.5714285714285714,0.0,1.0
2024,-20701.0,0.47619047619047616,0.0,1.0
2025,-15281.0,0.5,0.0,1.0
2026,-15201.0,0.5317460317460317,0.0,1.0
2027,-18041.0,0.5158730158730159,0.0,1.0
2028,-15821.0,0.5,0.0,1.0
2029,-14341.0,0.5476190476190477,0.0,1.0
