seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,-12093.0,0.49206349206349204,0.25,0.75
2001,-12093.0,0.49206349206349204,0.25,0.75
2002,-12093.0,0.49206349206349204,0.25,0.75
2003,-12093.0,0.49206349206349204,0.25,0.75
2004,-12093.0,0.49206349206349204,0.25,0.75
2005,-12093.0,0.49206349206349204,0.25,0.75
2006,-12093.0,0.49206349206349204,0.25,0.75
2007,-12093.0,0.49206349206349204,0.25,0.75
2008,-12093.0,0.49206349206349204,0.25,0.75
2009,-12093.0,0.49206349206349204,0.25,0.75
2010,-12093.0,0.49206349206349204,0.25,0.75
2011,-12093.0,0.49206349206349204,0.25,0.75
2012,-12093.0,0.49206349206349204,0.25,0.75
2013,-12093.0,0.49206349206349204,0.25,0.75
2014,-12093.0,0.49206349206349204,0.25,0.75
2015,-12093.0,0.49206349206349204,0.25,0.75
2016,-12093.0,0.49206349206349204,0.25,0.75
2017,-12093.0,0.49206349206349204,0.25,0.75
2018,-12093.0,0.49206349206349204,0.25,0.75
2019,-12093.0,0.49206349206349204,0.25,0.75
2020,-12093.0,0.49206349206349204,0.25,0.75
2021,-12093.0,0.49206349206349204,0.25,0.75
2022,-12093.0,0.49206349206349204,0.25,0.75
2023,-12093.0,0.49206349206349204,0.25,0.75
2024,-12093.0,0.49206349206349204,0.25,0.75
2025,-12093.0,0.49206349206349204,0.25,0.75
2026,-12093.0,0.49206349206349204,0.25,0.75
2027,-12093.0,0.49206349206349204,0.25,0.75
2028,-12093.0,0.49206349206349204,0.25,0.75
2029,-12093.0,0.49206349206349204,0.25,0.75
