seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,-33856.0,0.42063492063492064,0.25,0.75
2001,-33856.0,0.42063492063492064,0.25,0.75
2002,-33856.0,0.42063492063492064,0.25,0.75
2003,-33856.0,0.42063492063492064,0.25,0.75
2004,-33856.0,0.42063492063492064,0.25,0.75
2005,-33856.0,0.42063492063492064,0.25,0.75
2006,-33856.0,0.42063492063492064,0.25,0.75
2007,-33856.0,0.42063492063492064,0.25,0.75
2008,-33856.0,0.42063492063492064,0.25,0.75
2009,-33856.0,0.42063492063492064,0.25,0.75
2010,-33856.0,0.42063492063492064,0.25,0.75
2011,-33856.0,0.42063492063492064,0.25,0.75
2012,-33856.0,0.42063492063492064,0.25,0.75
2013,-33856.0,0.42063492063492064,0.25,0.75
2014,-33856.0,0.42063492063492064,0.25,0.75
2015,-33856.0,0.42063492063492064,0.25,0.75
2016,-33856.0,0.42063492063492064,0.25,0.75
2017,-33856.0,0.42063492063492064,0.25,0.75
2018,-33856.0,0.42063492063492064,0.25,0.75
2019,-33856.0,0.42063492063492064,0.25,0.75
2020,-33856.0,0.42063492063492064,0.25,0.75
2021,-33856.0,0.42063492063492064,0.25,0.75
2022,-33856.0,0.42063492063492064,0.25,0.75
2023,-33856.0,0.42063492063492064,0.25,0.75
2024,-33856.0,0.42063492063492064,0.25,0.75
2025,-33856.0,0.42063492063492064,0.25,0.75
2026,-33856.0,0.42063492063492064,0.25,0.75
2027,-33856.0,0.42063492063492064,0.25,0.75
2028,-33856.0,0.42063492063492064,0.25,0.75
2029,-33856.0,0.42063492063492064,0.25,0.75
